userID,itemID,rating
24326,4,8
8167,4,8
10402,5,5
1169,1,5
32748,4,8
24845,1,8
19984,3,3
25182,2,8
15547,5,3
13794,4,5
2487,3,3
11692,5,5
46421,5,8
51838,1,8
20076,3,3
19942,3,5
25182,3,3
5461,5,8
44397,1,8
2487,1,5
11854,1,5
17663,1,8
11927,1,5
45493,5,8
45269,2,5
17984,4,8
1169,4,8
32748,2,8
8178,4,8
32055,1,5
48559,2,8
45269,5,5
2077,1,5
11691,5,8
48687,5,8
46421,2,8
17663,2,8
5115,4,8
16569,3,1
21217,2,5
5272,3,8
45269,4,8
20848,3,5
6630,4,5
1169,5,8
38082,2,8
51460,2,5
9771,3,3
19724,4,8
29123,1,3
47730,4,8
24499,1,8
32305,1,8
5461,1,3
7001,3,5
49298,1,5
18361,1,5
51166,1,5
17434,3,5
5115,5,3
1952,5,8
6634,3,3
24389,1,5
17643,4,8
33872,1,8
47800,2,8
21487,2,8
30283,4,5
2900,5,8
39423,4,8
5436,4,8
42404,4,8
48559,4,8
10610,1,8
2324,4,8
4606,4,1
25214,1,5
50096,2,8
33716,2,8
46977,1,5
17228,4,8
7563,1,3
13794,2,1
50104,5,8
11927,2,8
26629,4,5
50096,3,8
49295,3,8
19526,5,5
25164,1,5
11692,4,8
43985,4,8
48687,3,1
43985,1,5
5379,1,8
30944,4,8
29703,4,8
32592,3,8
29703,5,8
16913,2,3
51838,5,5
50133,2,8
10246,1,5
26629,5,8
30681,2,5
32748,1,8
6630,5,3
27834,4,8
5115,3,5
36099,2,8
26145,1,5
11868,5,3
7001,5,8
51838,4,5
20467,5,5
22602,2,5
8167,5,5
10246,5,5
12874,4,8
44397,4,8
12946,3,5
33872,5,5
37834,3,5
14207,4,3
36099,4,8
13544,1,8
17228,5,8
32635,2,5
20406,4,3
28767,2,5
33716,1,8
52036,1,3
26661,5,8
20467,4,5
19729,5,5
11285,2,5
27834,5,5
12476,5,8
26145,2,5
27499,2,8
32923,5,8
28767,3,3
2324,5,8
22602,5,8
18313,3,8
37284,5,3
32635,3,5
21676,5,5
49298,5,3
17984,1,8
45493,2,8
6630,2,8
10944,5,3
37284,1,8
33716,5,5
47800,5,3
13776,4,5
47476,2,3
13282,2,8
22602,1,5
19526,2,5
6342,2,3
11408,2,8
47746,3,8
15604,4,3
21487,4,8
314,3,3
25840,4,3
25840,5,3
24326,3,3
32748,5,5
21676,2,8
36240,3,3
10249,3,8
11408,3,3
43602,3,5
17663,4,8
13034,4,5
44243,1,3
21228,4,3
6063,3,8
30681,1,8
32055,2,5
11868,2,8
18313,4,8
46482,5,8
21676,4,3
21733,2,8
2487,4,8
28767,4,8
33697,5,8
21228,1,8
32635,1,8
11285,4,3
49298,2,8
53292,2,8
2900,3,3
46977,3,3
10944,1,8
11692,2,3
15494,1,8
19724,3,5
19729,2,5
33716,3,3
37855,3,3
13776,5,5
24499,5,3
6630,3,8
21733,4,8
30313,2,8
26629,3,5
33697,4,8
44243,4,3
37834,2,5
39423,1,3
10111,2,8
14603,4,8
24834,2,5
32923,4,8
24834,1,5
9731,2,5
20848,1,8
3922,2,8
1169,2,3
21228,3,3
9731,3,3
18313,5,3
3662,3,5
10288,2,8
23576,4,8
47746,1,8
19724,2,8
439,4,8
31001,1,5
11868,4,3
17434,1,8
12946,5,8
17643,5,3
19526,4,8
26661,4,8
47478,2,3
5436,2,8
30313,4,8
50102,3,8
32592,1,5
33716,4,5
47800,4,8
37284,4,3
18031,5,8
32918,2,8
51460,4,8
28767,1,8
41074,5,3
2900,1,8
45493,1,8
49289,3,8
3922,4,5
12471,3,3
16913,3,5
10751,2,3
6342,4,8
26629,2,5
19942,2,8
26579,4,3
32745,4,5
13034,5,5
11927,5,8
23612,2,8
42508,2,5
37834,4,5
29819,5,3
29123,4,3
28158,5,5
33065,2,8
1185,1,5
49288,3,8
3739,5,8
23576,1,5
32338,4,5
16377,1,5
29703,1,8
32918,4,8
17663,5,8
26661,1,5
50101,3,8
44397,5,8
42404,3,8
18313,1,8
13282,3,8
13274,3,8
47476,1,5
10111,5,8
32592,4,8
42404,1,8
2487,5,3
27499,5,8
53245,4,8
5115,2,5
50133,3,8
48559,5,3
10335,1,5
38475,3,3
3022,5,1
27499,4,8
52036,5,5
30681,3,5
21487,5,8
51166,5,5
43985,3,3
30944,2,8
21487,1,5
53245,1,5
37834,1,8
20467,1,3
3662,5,5
48482,2,8
50104,1,7
50104,1,1
23612,3,3
50104,3,8
3922,1,8
45554,5,8
32305,4,8
50102,4,8
2077,3,3
18313,2,8
51460,1,3
11927,3,5
19729,4,5
3022,2,5
33697,1,5
25164,5,5
18361,2,5
25182,1,8
8167,2,3
20406,5,8
14192,4,5
19724,5,8
38082,1,8
11945,5,5
5885,3,5
48687,4,8
3662,1,5
12471,1,8
12946,2,8
10140,1,5
11945,4,8
25182,4,8
47800,1,8
45269,1,5
14546,4,8
36099,3,5
30944,5,5
52036,2,3
46139,5,5
314,5,5
27934,4,5
49298,3,1
39423,5,3
38080,1,5
10146,1,8
53292,3,8
23612,1,5
5885,1,8
48482,3,3
48482,1,3
42404,5,3
14603,5,5
10509,3,1
50342,1,3
42810,2,5
5461,2,5
3739,4,8
588,1,8
50104,2,8
12946,4,8
21217,5,5
12874,5,5
11854,3,1
16913,1,8
46482,4,8
32918,3,8
10944,2,8
12874,2,5
32592,2,5
11285,3,3
28767,5,3
25164,2,5
14372,2,3
26629,1,5
11691,2,5
33697,2,5
49297,3,8
30681,4,8
26398,3,3
21228,2,5
33065,1,5
51460,3,3
22602,3,3
17663,3,5
9246,4,5
10140,3,3
14603,2,5
32305,2,8
24499,2,8
439,1,3
11599,3,5
10246,3,1
10610,2,8
53292,4,8
33065,4,8
29703,3,1
14546,2,8
17434,2,8
33065,3,1
21228,5,5
13794,5,3
38080,3,8
21733,3,1
5461,3,3
17984,2,8
36099,5,3
6630,1,8
12381,4,8
25164,4,8
24326,1,8
16377,3,1
33872,4,8
24389,3,3
47411,4,5
3922,5,3
15604,2,5
10509,2,3
30681,5,3
6342,5,8
18031,4,8
34688,5,3
33890,1,3
18031,3,3
10140,2,3
11691,4,8
23576,2,8
34688,4,5
38798,5,3
33872,2,8
10140,4,5
38082,3,3
20076,1,3
49298,4,7
49298,4,1
42404,2,8
44243,5,3
14546,3,8
25182,5,8
51838,2,5
13282,1,8
18031,1,8
21733,5,5
21733,5,0
6063,2,1
51166,2,8
32923,1,8
21217,4,5
46977,2,3
9246,5,3
33065,5,5
23576,5,8
48482,4,3
32635,5,3
38475,1,5
28158,1,5
32338,5,3
20782,3,5
9246,3,1
11945,2,8
17566,2,5
12381,5,4
12381,5,1
21487,3,3
41074,1,3
14546,5,3
10751,3,1
8370,5,3
51166,3,3
52036,4,3
48687,2,1
13794,3,1
25214,3,1
4536,3,1
21713,1,8
10610,3,1
5885,2,5
5885,2,0
10944,3,1
32305,3,1
23576,3,1
588,3,1
37284,3,1
9246,1,1
52036,3,1
17643,2,1
51480,1,1
15604,3,1